"pred1","pred2","pred3","pred4","pred5","pred6","pred7","pred8","pred9","pred10","resp"
1997,16,FALSE,67,233,0.343589744,0.343347639,0.686937383,"16.01273514",FALSE,FALSE
2012,1,FALSE,199,675,0.327841845,0.280832095,0.60867394,"14.5574479",TRUE,FALSE
2012,1,FALSE,216,628,0.393442623,0.327419355,0.720861978,"14.15198279",TRUE,FALSE
2012,1,TRUE,230,630,0.399305556,0.336038961,0.735344517,"13.08777193",TRUE,FALSE
2011,2,FALSE,245,592,0.466666667,0.304421769,0.771088435,"14.60396792",TRUE,TRUE
2012,1,FALSE,106,301,0.385454545,0.279863481,0.665318027,"13.08362255",TRUE,FALSE
2008,5,FALSE,117,431,0.3046875,0.280285036,0.584972536,"14.07787482",FALSE,FALSE
2009,4,TRUE,238,711,0.378378378,0.34548105,0.723859428,"14.78059145",TRUE,FALSE
2012,1,FALSE,225,589,0.432692308,0.340425532,0.77311784,"13.81551056",TRUE,FALSE
2011,2,FALSE,151,373,0.435158501,0.267759563,0.702918064,"13.10134401",TRUE,FALSE
2010,3,FALSE,141,436,0.384196185,0.344186047,0.728382232,"13.142166",TRUE,FALSE
2009,4,FALSE,195,546,0.380859375,0.282242991,0.663102366,"13.99783211",TRUE,FALSE
2007,6,FALSE,215,554,0.415860735,0.316666667,0.732527402,"15.43983708",FALSE,FALSE
2007,6,FALSE,60,144,0.447761194,0.309859155,0.757620349,"14.13396429",FALSE,FALSE
2009,4,FALSE,54,216,0.279792746,0.297674419,0.577467165,"13.52782849",TRUE,FALSE
2001,12,FALSE,110,366,0.342679128,0.253521127,0.596200254,"15.20180492",FALSE,FALSE
2005,8,FALSE,146,496,0.320879121,0.253138075,0.574017196,"15.42494847",FALSE,FALSE
2011,2,FALSE,194,589,0.354014599,0.293814433,0.647829032,"13.12236338",TRUE,FALSE
2005,8,FALSE,16,98,0.192771084,0.242105263,0.434876347,"15.52025865",FALSE,FALSE
2008,5,FALSE,33,136,0.292035398,0.333333333,0.625368732,"13.91082074",FALSE,FALSE
2007,6,TRUE,175,401,0.527108434,0.348600509,0.875708943,"16.45456789",FALSE,TRUE
2012,1,FALSE,74,215,0.413407821,0.326923077,0.740330898,"13.08154138",TRUE,FALSE
2004,9,FALSE,58,215,0.298969072,0.23943662,0.538405692,"16.71280276",FALSE,FALSE
2010,3,FALSE,195,582,0.371428571,0.288495575,0.659924147,"13.16158409",TRUE,FALSE
2011,2,FALSE,173,477,0.420924574,0.344680851,0.765605425,"13.08362255",TRUE,FALSE
1998,15,TRUE,339,662,0.561258278,0.342592593,0.903850871,"16.52356076",FALSE,FALSE
1999,14,TRUE,271,634,0.495429616,0.314194577,0.809624193,"16.38045992",FALSE,TRUE
1999,14,FALSE,36,100,0.444444444,0.326530612,0.770975057,"16.30041721",FALSE,FALSE
2012,1,FALSE,92,264,0.405286344,0.352713178,0.757999522,"13.10927814",TRUE,FALSE
2006,7,FALSE,86,228,0.4,0.258928571,0.658928571,"14.50865774",FALSE,FALSE
2005,8,FALSE,144,376,0.42228739,0.322580645,0.744868035,"14.03865411",FALSE,FALSE
2012,1,FALSE,46,121,0.407079646,0.307692308,0.714771954,"13.08154138",TRUE,FALSE
2008,5,FALSE,135,455,0.34351145,0.325112108,0.668623558,"13.15386204",FALSE,FALSE
1999,14,FALSE,18,67,0.28125,0.223880597,0.505130597,"14.03865411",FALSE,FALSE
2003,10,FALSE,129,338,0.398148148,0.327380952,0.725529101,"14.45736444",FALSE,FALSE
2011,2,FALSE,175,504,0.372340426,0.277665996,0.650006422,"13.12735092",TRUE,FALSE
2009,4,FALSE,77,275,0.31557377,0.322222222,0.637795993,"14.60396792",TRUE,FALSE
2011,2,FALSE,20,66,0.322580645,0.303030303,0.625610948,"13.09807068",TRUE,FALSE
